date,title,summary,link
24 Apr 2024,Scotland in 'dangerous' moment for climate goals,"Head of climate watchdog tells MSPs there is a risk of a ""policy vacuum"" after Scotland ditched targets.",https://www.bbc.comhttps://www.bbc.com/news/uk-scotland-68879606
24 Apr 2024,How savvy consumers are keeping companies honest,A growing group of conscious consumers have found other strategies to keep companies honest.,https://www.bbc.comhttps://www.bbc.com/worklife/article/20240415-product-boycotts-conscious-consumerism
16 Apr 2024,How tree justice could change US cities,Trees protect health and lower bills: planting them in tree-poor communities of colour has the greatest impact.,https://www.bbc.comhttps://www.bbc.com/future/article/20240415-why-cities-should-plant-trees-with-racial-equity-in-mind
18 Apr 2024,The nuclear answer to moonbase power,Astronauts living on the Moon will need lots of power – but they can't take fuel supplies with them. A new generation of miniature nuclear reactors could be the answer.,https://www.bbc.comhttps://www.bbc.com/future/article/20240417-the-nuclear-reactors-that-could-power-moon-bases
18 Apr 2024,Is filtered water healthier than tap water?,"Table-top filters can remove contaminants from tap water – but are they really necessary, and could they cause unintentional harm?",https://www.bbc.comhttps://www.bbc.com/future/article/20240417-is-filtered-water-healthier-than-tap-water
19 Apr 2024,"New homes could be heated by River Tyne, council told","The council would have to comply with “strict limits” set by the Environment Agency, if approved.",https://www.bbc.comhttps://www.bbc.com/news/articles/cjk4n355y58o
27 Apr 2024,Congestion still major issue in council election,The contest on 2 May is the first ballot since plans for a city congestion charge were dropped.,https://www.bbc.comhttps://www.bbc.com/news/articles/cn0vel3v1rko
30 Apr 2024,These tricks make wind farms more bird-friendly,"Wind turbines can pose a deadly risk to migrating birds, but there are ways to dramatically reduce crashes.",https://www.bbc.comhttps://www.bbc.com/future/article/20240425-these-tricks-made-wind-farms-more-bird-friendly
19 Apr 2024,The Amazonian town putting world cities to shame,Puerto Nariño is a tranquil experiment in sustainable living where motor vehicles are banned and the streets are as clean as Copenhagen's.,https://www.bbc.comhttps://www.bbc.com/travel/article/20240419-the-amazonian-town-putting-world-cities-to-shame
11 Apr 2024,The ski resorts saving snow,"As global warming is threatening ski holidays, some resorts are reviving an ancient trick: saving snow over the summer",https://www.bbc.comhttps://www.bbc.com/future/article/20240410-the-ski-resorts-saving-snow
9 Apr 2024,Boom times for US green energy as federal cash flows in,The US government has directed unprecedented sums of money at green energy projects.,https://www.bbc.comhttps://www.bbc.com/news/business-68667140
13 Apr 2024,How a traditional craft became a Gen-Z statement,"Embroidery is back, and a new generation is tapping into its potential – for upcycling and for making an empowering declaration. Here's our DIY guide to embroidering your own clothes.",https://www.bbc.comhttps://www.bbc.com/culture/article/20240405-how-a-traditional-craft-became-a-gen-z-statement
10 Apr 2024,How 'forever chemicals' get into tap water,"The US is introducing new environmental protections aimed at limiting long-lived PFAS chemicals in tap water, but these are only the tip of a very persistent iceberg.",https://www.bbc.comhttps://www.bbc.com/future/article/20230315-where-do-forever-chemicals-in-drinking-water-come-from
26 Apr 2024,Can bird flu be stopped?,Bird flu is decimating wildlife around the world and is now spreading in cows. In the handful of human cases seen so far it has been extremely deadly.,https://www.bbc.comhttps://www.bbc.com/future/article/20240425-how-dangerous-is-bird-flu-spread-to-wildlife-and-humans
26 Apr 2024,Can bird flu be stopped?,Bird flu is decimating wildlife around the world and is now spreading in cows. In the handful of human cases seen so far it has been extremely deadly.,https://www.bbc.comhttps://www.bbc.com/future/article/20240425-how-dangerous-is-bird-flu-spread-to-wildlife-and-humans
10 Apr 2024,How to speak 'whale',"In a world-first, scientists had a ""conversation"" with a whale. Now, researchers are trying to find out what they are actually saying.",https://www.bbc.comhttps://www.bbc.com/future/article/20240409-the-scientists-learning-to-speak-whale
10 Apr 2024,Why there are more climate lawsuits than ever,"Governments, fossil fuel firms and airlines are increasingly becoming embroiled in climate litigation. Isabella Kaminski analyses what difference this legal action is making.",https://www.bbc.comhttps://www.bbc.com/future/article/20231208-the-legal-battles-changing-the-course-of-climate-change
8 Apr 2024,Butter vs margarine: which is healthiest?,Butter is high in saturated fat – but margarine is an ultra-processed food. Disentangling which is the queen of healthy spreads is extremely tricky,https://www.bbc.comhttps://www.bbc.com/future/article/20240405-butter-versus-margarine-which-is-the-healthiest-spread
12 Apr 2024,How Texan cities go dark to help birds,About two billion birds fly through Texas in the spring – and lit-up buildings pose a deadly risk. A growing campaign seeks to save birds with darkness.,https://www.bbc.comhttps://www.bbc.com/future/article/20240410-how-switching-off-lights-stops-migrating-birds-collisions-with-buildings
9 Apr 2024,The turtle that sparked a plastics revolution,"Bloody and in pain, when a plastic straw became lodged in the nostril of a turtle, a video showing its removal shook the world – sparking a movement to rid the world of plastic straws",https://www.bbc.comhttps://www.bbc.com/future/article/20240402-the-turtle-video-that-sparked-a-plastic-straw-revolution
3 Apr 2024,Eight hidden sources of a potent greenhouse gas,"The scale of the methane challenge goes way beyond fossil fuels, with many natural and human-made sources feeding into a vicious cycle of warming.",https://www.bbc.comhttps://www.bbc.com/future/article/20240402-the-surprising-sources-of-methane
2 Apr 2024,Five cities making the world a better place,The Global Destination Sustainability Index reveals the destinations that are working towards a sustainable and lower-carbon future,https://www.bbc.comhttps://www.bbc.com/travel/article/20240402-five-standout-cities-making-the-world-a-better-place
13 Apr 2024,The secret Scandinavian A-bomb project,"In the years after World War Two, neutral Sweden embarked on an ambitious plan – build its own atomic bomb.",https://www.bbc.comhttps://www.bbc.com/future/article/20240412-the-secret-scandinavian-a-bomb-project
8 Apr 2024,A throwback to the golden age of European travel,"Hop aboard in one country, wake up in another and consider getting off to explore one of Germany's most stunning landscapes.",https://www.bbc.comhttps://www.bbc.com/travel/article/20240408-the-european-sleeper-a-new-night-train-connecting-some-of-the-continents-great-cities
5 Apr 2024,Prince Andrew interview drama misses the point,"Netflix film Scoop recreates the infamous 2019 interrogation – but there's too much emphasis on the personal story of the news producer behind it, and not enough on the bigger issues.",https://www.bbc.comhttps://www.bbc.com/culture/article/20240404-scoop-review-netflixs-film-about-the-infamous-bbc-prince-andrew-interview-misses-the-point
13 Apr 2024,Photo exhibition urges people to make a difference,Jonathan Banks' exhibition at St Albans Cathedral celebrates his career working with charities.,https://www.bbc.comhttps://www.bbc.com/news/uk-england-beds-bucks-herts-68794017
27 Mar 2024,A 'clean' power source's hidden emissions,Dams and reservoirs around the world are an underappreciated source of methane. Now start-ups want to capture that gas as a source of power.,https://www.bbc.comhttps://www.bbc.com/future/article/20240326-how-hydroelectric-dams-are-a-hidden-source-of-carbon-emissions
1 Apr 2024,Nine iconic Paris sites to watch the Olympics,Many Olympic events will take place at the city's most legendary venues. Here's how to see the Games – with or without a ticket – near some of Paris' world-famous monuments,https://www.bbc.comhttps://www.bbc.com/travel/article/20240401-nine-iconic-sites-in-paris-where-olympic-events-will-be-held
25 Mar 2024,The climate benefits of home-grown tomatoes,"As spring gets underway, it's the ideal time to start growing veg at home. To make the most difference for the climate, some crops are especially worth growing.",https://www.bbc.comhttps://www.bbc.com/future/article/20240322-the-most-climate-friendly-vegetables-to-grow-in-your-garden
29 Mar 2024,An unlikely spa town with Soviet-style treatments,"As Georgia shakes off the shackles of its Soviet past, a new scheme aims to revive Tskaltubo's abandoned sanatoriums and turn the town into a world-class spa destination once again.",https://www.bbc.comhttps://www.bbc.com/travel/article/20240329-tskaltubo-the-rebirth-of-georgias-derelict-soviet-spa-town
27 Mar 2024,Why the world has an asbestos waste problem,Millions of tonnes of asbestos are being removed from buildings around the world – can this dangerous mineral be disposed of permanently? Or even be put to good use?,https://www.bbc.comhttps://www.bbc.com/future/article/20240325-how-to-get-rid-of-asbestos-global-waste-problem
21 Mar 2024,Why invasive wild boar might not be all bad,Hybridised feral pigs are an invasive pest in North America – but there could be benefits to their destructive power.,https://www.bbc.comhttps://www.bbc.com/future/article/20240320-why-invasive-wild-pigs-might-not-be-all-bad
23 Mar 2024,"Medieval horses had supercars status, research finds",Analysis of remains found in Westminster nearly 30 years ago show some horses were considered elite.,https://www.bbc.comhttps://www.bbc.com/news/uk-england-london-68632099
20 Mar 2024,Rivals of the lithium battery are charging up,Lithium batteries are very difficult to recycle and require huge amounts of water and energy to produce. Are there viable alternatives?,https://www.bbc.comhttps://www.bbc.com/future/article/20240319-the-most-sustainable-alternatives-to-lithium-batteries
16 Mar 2024,"In Cleveland, mushrooms digest entire houses","In the struggle to combat pollution and fight climate change, a growing number of scientists are beginning to look to one of nature’s oldest biotechnologies: fungi",https://www.bbc.comhttps://www.bbc.com/future/article/20240314-fungi-can-be-used-to-clean-pollution-and-combat-climate-change
19 Mar 2024,Meet Florida's python bounty hunters,"When invasive snakes began killing the Everglades' native wildlife, Florida came up with a plan: bring in bounty hunters.",https://www.bbc.comhttps://www.bbc.com/future/article/20240318-florida-pays-people-to-hunt-invasive-burmese-pythons
17 Mar 2024,The Japanese town where you can sleep in a castle,"In Ozu, you can stay at a hotel dispersed across an ancient castle, samurai residences and old merchant homes, while supporting the town's award-winning model of sustainable tourism",https://www.bbc.comhttps://www.bbc.com/travel/article/20240316-why-you-should-visit-japans-small-but-mighty-little-kyoto
13 Mar 2024,The prehistoric cows making a comeback in Portugal,"The tauros, a specially bred version of the long-extinct auroch cattle, is being introduced to Portugal's Côa Valley.",https://www.bbc.comhttps://www.bbc.com/future/article/20240312-the-rewilding-project-bringing-back-an-ancient-breed-of-cattle-to-portugal
13 Mar 2024,Clean Air Zone scrappage scheme extended,Different grants are on offer for the a scheme the council says will encourage sustainable transport.,https://www.bbc.comhttps://www.bbc.com/news/articles/c88x1066vgpo
14 Mar 2024,A trailblazing journey to Tibet's forbidden city,"In 1924, French-born Alexandra David-Neel became the first European woman to set foot in the Tibetan city of Lhasa. Now, 100 years on, her story is as relevant as ever",https://www.bbc.comhttps://www.bbc.com/travel/article/20240313-trailblazing-journey-forbidden-city-of-lhasa
12 Mar 2024,Why bespoke dressmaking is back,"There's a return to the traditional, personalised tailor – with some help from TikTok. Craftspeople and their clients talk about the process of creating unique garments.",https://www.bbc.comhttps://www.bbc.com/culture/article/20240312-why-bespoke-dressmaking-is-back
12 Mar 2024,Where we might find aliens in the next decade,"Forget UFOs and alien abductions, here's how scientists are really looking for life on other worlds.",https://www.bbc.comhttps://www.bbc.com/future/article/20240308-how-the-hunt-for-alien-life-is-hotting-up
11 Mar 2024,Doubts raised over Sadiq Khan's clean air claims,Londoners will not see data about the impact of expanding Ulez in outer London before the May vote.,https://www.bbc.comhttps://www.bbc.com/news/uk-england-london-68533703
7 Mar 2024,Why the Anthropocene is still not official,"It may be a widely-used term, but geologists still can't agree when the Anthropocene actually started.",https://www.bbc.comhttps://www.bbc.com/future/article/20240306-why-its-proving-difficult-to-define-the-official-dawn-of-the-anthropocene
11 Mar 2024,What is that big neon sign beside Glasgow's M8?,"Since 2021, a large, red, neon sign has illuminated Glasgow's skyline with a puzzling message.",https://www.bbc.comhttps://www.bbc.com/news/articles/cg69ynx7n6no
6 Mar 2024,A satellite's tricky hunt for secret emissions,"A new satellite will measure global methane emissions, but why does agriculture's contribution remain so elusive?",https://www.bbc.comhttps://www.bbc.com/future/article/20240306-agricultural-methane-is-a-climate-action-blind-spot
8 Mar 2024,Can women hold onto chief sustainability jobs?,Women hold many major leadership positions in sustainability. Their presence is important for representation – but familiar problems may make these gains temporary.,https://www.bbc.comhttps://www.bbc.com/worklife/article/20240307-women-chief-sustainability-officer-jobs
7 Mar 2024,Which oil should you be cooking with?,Is vegetable oil bad for you? Is avocado oil as healthy as olive oil? Confused about cooking oils? BBC Future investigates the healthiest oils to cook with.,https://www.bbc.comhttps://www.bbc.com/future/article/20200903-which-cooking-oil-is-the-healthiest
4 Mar 2024,Fixing the world's loneliest runway,"In the coldest place on Earth, workers wage an epic battle with the extreme landscape – aided by specially trained penguin-movers.",https://www.bbc.comhttps://www.bbc.com/future/article/20240228-how-to-fix-a-runway-in-antarctica
2 Mar 2024,The 'terraformed' Oregon sands that inspired Dune,"When Frank Herbert visited coastal Oregon, it would influence his sci-fi novel Dune - but much has changed since",https://www.bbc.comhttps://www.bbc.com/future/article/20240229-dune-part-two-the-oregon-sands-that-inspired-frank-herberts-arrakis
2 Mar 2024,The 'terraformed' Oregon sands that inspired Dune,"When Frank Herbert visited coastal Oregon, it would influence his sci-fi novel Dune - but much has changed since",https://www.bbc.comhttps://www.bbc.com/future/article/20240229-dune-part-two-the-oregon-sands-that-inspired-frank-herberts-arrakis
4 Mar 2024,A £1 ferry to Turkey's 'time-warp' islands,"Home to grand but faded palaces and mosques, the Adalar islands offer a glimpse into Istanbul's multicultural past as well as a peaceful escape from the massive and chaotic metropolis.",https://www.bbc.comhttps://www.bbc.com/travel/article/20240304-adalar-explore-the-ottoman-past-on-istanbuls-car-free-islands
5 Mar 2024,Why Europe is removing its dams,"Artificial barriers have long blocked Europe's waterways. But as many of these structures age, a movement is growing to let rivers flow freely once again.",https://www.bbc.comhttps://www.bbc.com/future/article/20240229-why-europe-is-removing-its-dams
29 Feb 2024,The US state that's home to Earth's oldest forest,"The discovery of a 385-million-year-old forest in Cairo, NY, has stunned the world – but visitors to the region have been able to see rare fossil forests for more than a century.",https://www.bbc.comhttps://www.bbc.com/travel/article/20240229-the-surprising-us-region-thats-home-to-the-worlds-oldest-forests
1 Mar 2024,Why do some animals have 'virgin births'?,"A female stingray recently fell pregnant, despite having no male companions in her tank. What are ""virgin births"" and why are they happening more frequently for animals in captivity?",https://www.bbc.comhttps://www.bbc.com/future/article/20240229-why-do-some-animals-have-virgin-births
4 Mar 2024,The tree-planting mayor of Freetown,Yvonne Aki-Sawyerr has faced challenges in her climate change mission but won over many women.,https://www.bbc.comhttps://www.bbc.com/news/world-africa-68434879
1 Mar 2024,Are two-part movies ripping audiences off?,"From the Dune films to the new adaptation of hit musical Wicked, the trend is for big movies to be split into two instalments to tell their story. But is this what fans really want?",https://www.bbc.comhttps://www.bbc.com/culture/article/20240301-dune-part-two-are-two-part-movies-providing-double-the-enjoyment-or-ripping-audiences-off
28 Feb 2024,The cheapest plant milk to make at home,Plant milk is still more expensive than dairy. Is it cheaper to make it yourself?,https://www.bbc.comhttps://www.bbc.com/future/article/20240228-i-made-plant-based-milk-to-see-if-it-was-cheaper
27 Feb 2024,Why firms are racing to produce green ammonia,Ammonia is essential for fertiliser production but producing it is carbon intensive.,https://www.bbc.comhttps://www.bbc.com/news/business-68230697
24 Feb 2024,Eight of the world's most remarkable homes,"From Jaipur to Whistler, eight extraordinary, award-winning houses that are both beautiful and low-energy.",https://www.bbc.comhttps://www.bbc.com/culture/article/20240223-eight-of-the-world-s-most-remarkable-homes
24 Feb 2024,How nature became part of Ukraine's resistance,"Lawsuits, art and a sandy mole-rat have all played a part in Ukraine's fight for environmental justice in the wake of Russia's invasion. But efforts can only go so far while war rages.",https://www.bbc.comhttps://www.bbc.com/future/article/20240223-ukraines-quest-to-save-its-nature-from-russian-aggression
23 Feb 2024,The quest to depave the world's cities,"From Australia to Ontario, cities are taking up unnecessary stretches of concrete and asphalt, allowing nature to take hold in their place.",https://www.bbc.comhttps://www.bbc.com/future/article/20240222-depaving-the-cities-replacing-concrete-with-earth-and-plants
20 Feb 2024,The giant tortoises rebuilding a Galápagos island,An army of reptilian bulldozers is helping a Galápagos island make an ecological comeback.,https://www.bbc.comhttps://www.bbc.com/future/article/20240220-the-giant-tortoises-boosting-biodiversity-in-the-galpagos
18 Feb 2024,Why India's wildly remote islands are trending,India's coral islands of Lakshadweep piqued tourists' interest after Prime Minister Modi visited last month. But can the islands' fragile environment handle the growth in tourism?,https://www.bbc.comhttps://www.bbc.com/travel/article/20240218-why-indias-wildly-remote-islands-are-trending
17 Feb 2024,The untraceable ingredients in skincare products,"In the baffling world of skincare ingredients, where is the best place to start seeking sustainable skincare?",https://www.bbc.comhttps://www.bbc.com/future/article/20240215-sustainable-skincare-how-to-make-your-own-moisturiser-at-home
19 Feb 2024,African hero Nyerere honoured by new statue,African leaders pay tribute to Tanzania's founding father as a statue to him is unveiled in Ethiopia.,https://www.bbc.comhttps://www.bbc.com/news/world-africa-68330707
16 Feb 2024,Borneo's all-women firefighting squad,The Power of Mama combat peatland fires while changing attitudes towards women.,https://www.bbc.comhttps://www.bbc.com/future/article/20240214-the-power-of-mama-fight-forest-fires-in-borneo
16 Feb 2024,Presenter develops community-led sustainable homes,Charlie Luxton is behind an affordable new property development in Oxfordshire.,https://www.bbc.comhttps://www.bbc.com/news/uk-england-oxfordshire-68300131
14 Feb 2024,Taylor Swift's travel carbon footprint criticised,"Taylor Swift was criticised for private plane usage, with accusations of being the biggest celebrity CO2 polluter – but bought double the carbon credits needed to offset her flights.",https://www.bbc.comhttps://www.bbc.com/travel/article/20240213-taylor-swift-private-jet-flight-travel-carbon-footprint
15 Feb 2024,Why pets are eating as well as humans,"As consumers claw for luxury pet food, dogs and cats are eating as well as humans.",https://www.bbc.comhttps://www.bbc.com/worklife/article/20240214-human-grade-luxury-pet-food-market
13 Feb 2024,Why wildfire smoke causes harm far away,"Smoke from burning forests and peat can linger in the atmosphere for weeks, travelling thousands of miles and harming the health of populations living far away.",https://www.bbc.comhttps://www.bbc.com/future/article/20200821-how-wildfire-pollution-may-be-harming-your-health
13 Feb 2024,How unhealthy air changes your body and mind,The air we breathe can have profound effects on our physical and mental health. Is there any way of protecting yourself from this pervasive problem?,https://www.bbc.comhttps://www.bbc.com/future/article/20240213-unhealthy-air-how-pollution-changes-your-body-and-mind
8 Feb 2024,Climate change: The 1.5C threshold explained,"As leaders gather at COP28 in Dubai to discuss the climate crisis and negotiate commitments to address it, we consider one of the most important numbers: 1.5C.",https://www.bbc.comhttps://www.bbc.com/future/article/20231130-climate-crisis-the-15c-global-warming-threshold-explained
8 Feb 2024,'I used to be convinced I didn't have a future',"Data scientist Hannah Ritchie argues that planetary damage could be about to peak – but that the US election result could be ""pivotal"".",https://www.bbc.comhttps://www.bbc.com/future/article/20240206-hannah-ritchie-sustainability-data-spreads-hope-not-doomism
8 Feb 2024,Cars are getting bigger - so are the risks,"In some parts of the world, cars have always been on the larger side. But now these behemoths are spreading – and the consequences are still being figured out.",https://www.bbc.comhttps://www.bbc.com/future/article/20240207-are-cars-getting-too-big-for-the-road
5 Feb 2024,The pothole plague – and the robots to the rescue,"Extreme weather events driven by climate change are wreaking havoc on roadways, but AI and robots might be part of the solution.",https://www.bbc.comhttps://www.bbc.com/future/article/20240124-climate-change-is-causing-a-pothole-plague-are-robots-and-self-healing-pavement-the-solution
6 Feb 2024,The paradox of the 'gentle protest',"Twenty years after ""craftivism"" was born, Future Planet traces its threads through the climate movement.",https://www.bbc.comhttps://www.bbc.com/future/article/20240206-craftivism-the-introverts-guide-to-gentle-protest-for-climate
